"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 08- 23","471.16","458.66","472.00","452.08","65.35M","3.17%"
"2023- 08- 22","456.68","481.35","481.87","453.33","74.94M","-2.77%"
"2023- 08- 21","469.67","444.94","470.65","442.22","67.69M","8.47%"
"2023- 08- 18","432.99","426.35","435.78","416.60","58.38M","-0.10%"
"2023- 08- 17","433.43","439.70","440.62","430.01","44.87M","-0.33%"
"2023- 08- 16","434.86","445.20","446.75","434.06","52.21M","-1.03%"
"2023- 08- 15","439.40","445.60","452.68","437.10","67.19M","0.43%"
"2023- 08- 14","437.53","404.86","438.00","403.11","69.03M","7.09%"
"2023- 08- 11","408.55","417.51","420.18","406.39","53.31M","-3.62%"
"2023- 08- 10","423.88","421.60","435.74","418.35","48.88M","-0.39%"
"2023- 08- 09","425.54","442.74","443.12","421.34","57.89M","-4.72%"
"2023- 08- 08","446.64","448.53","452.42","440.56","35.15M","-1.66%"
"2023- 08- 07","454.17","451.11","455.40","445.63","32.22M","1.65%"
"2023- 08- 04","446.80","449.85","456.42","443.93","36.27M","0.37%"
"2023- 08- 03","445.15","438.00","451.18","438.00","32.14M","0.56%"
"2023- 08- 02","442.69","458.31","458.40","433.87","52.61M","-4.81%"
"2023- 08- 01","465.07","464.60","469.00","460.27","23.36M","-0.48%"
"2023- 07- 31","467.29","467.54","471.30","465.06","24.98M","-0.04%"
"2023- 07- 28","467.50","466.68","470.27","463.81","33.12M","1.85%"
"2023- 07- 27","459.00","465.19","473.95","457.50","45.60M","0.99%"
"2023- 07- 26","454.52","460.21","460.53","446.30","36.42M","-0.50%"
"2023- 07- 25","456.79","449.41","461.83","449.23","34.81M","2.39%"
"2023- 07- 24","446.12","447.31","451.09","440.40","36.65M","0.68%"
"2023- 07- 21","443.09","457.88","458.66","441.00","96.38M","-2.66%"
"2023- 07- 20","455.20","465.07","470.87","450.62","53.79M","-3.31%"
"2023- 07- 19","470.77","474.64","478.18","467.42","42.07M","-0.88%"
"2023- 07- 18","474.94","467.01","478.96","457.34","56.57M","2.22%"
"2023- 07- 17","464.61","462.89","464.96","452.62","50.49M","2.18%"
"2023- 07- 14","454.69","465.83","480.88","450.60","77.21M","-1.10%"
"2023- 07- 13","459.77","445.18","461.55","444.92","47.82M","4.73%"
"2023- 07- 12","439.02","430.33","439.35","427.77","48.13M","3.53%"
"2023- 07- 11","424.05","424.81","427.58","420.67","29.82M","0.53%"
"2023- 07- 10","421.80","426.57","428.11","416.49","35.39M","-0.76%"
"2023- 07- 07","425.03","423.22","432.14","421.80","35.59M","0.95%"
"2023- 07- 06","421.03","418.44","421.79","413.46","30.26M","-0.51%"
"2023- 07- 05","423.17","421.35","431.77","420.85","32.20M","-0.23%"
"2023- 07- 03","424.13","426.00","428.89","422.03","19.82M","0.26%"
"2023- 06- 30","423.02","416.80","425.50","415.01","50.11M","3.63%"
"2023- 06- 29","408.22","415.58","416.00","406.00","37.37M","-0.72%"
"2023- 06- 28","411.17","406.60","418.45","405.18","57.99M","-1.81%"
