"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 06- 20","89.75","90.29","90.78","89.74","14.68M","-1.72%"
"2023- 06- 16","91.32","92.88","92.97","90.86","22.68M","-1.74%"
"2023- 06- 15","92.94","92.06","93.52","91.61","13.10M","0.53%"
"2023- 06- 14","92.45","94.26","94.52","91.92","15.60M","-1.49%"
"2023- 06- 13","93.85","94.12","94.44","93.44","12.96M","0.76%"
"2023- 06- 12","93.14","92.25","93.22","91.77","12.29M","1.32%"
"2023- 06- 09","91.93","92.78","92.92","91.55","9.60M","-0.65%"
"2023- 06- 08","92.53","92.52","92.68","91.30","8.98M","0.01%"
"2023- 06- 07","92.52","92.78","93.08","91.86","11.08M","0.39%"
"2023- 06- 06","92.16","91.10","92.51","91.02","12.02M","1.27%"
"2023- 06- 05","91.00","91.20","91.76","89.44","18.41M","0.25%"
"2023- 06- 02","90.77","89.63","91.34","89.60","14.27M","2.46%"
"2023- 06- 01","88.59","88.40","89.06","87.11","11.80M","0.72%"
"2023- 05- 31","87.96","87.58","88.17","87.15","11.26M","0.16%"
"2023- 05- 30","87.82","88.97","88.97","87.01","14.71M","-0.53%"
"2023- 05- 26","88.29","88.49","89.24","88.10","12.89M","0.17%"
"2023- 05- 25","88.14","89.56","89.56","87.79","13.20M","-1.04%"
"2023- 05- 24","89.07","89.44","89.49","88.41","15.14M","-0.84%"
"2023- 05- 23","89.82","91.10","92.03","89.81","14.51M","-2.18%"
"2023- 05- 22","91.82","91.33","91.93","89.89","13.83M","0.51%"
"2023- 05- 19","91.35","93.00","93.00","91.32","16.43M","-2.57%"
"2023- 05- 18","93.76","92.85","94.24","92.46","14.86M","1.07%"
"2023- 05- 17","92.77","91.02","93.05","90.85","12.46M","1.97%"
"2023- 05- 16","90.98","92.04","92.42","90.78","17.01M","-2.02%"
"2023- 05- 15","92.86","91.54","92.87","90.70","16.79M","0.95%"
"2023- 05- 12","91.99","92.34","92.88","91.24","21.84M","-0.35%"
"2023- 05- 11","92.31","94.80","95.11","91.88","57.13M","-8.73%"
"2023- 05- 10","101.14","103.00","103.25","100.04","19.53M","-1.02%"
"2023- 05- 09","102.18","102.91","102.98","102.09","6.83M","-0.77%"
"2023- 05- 08","102.97","101.70","103.91","101.69","10.81M","2.44%"
"2023- 05- 05","100.52","98.59","100.85","98.11","9.30M","3.15%"
"2023- 05- 04","97.45","99.54","99.54","96.61","13.26M","-3.38%"
"2023- 05- 03","100.86","101.06","102.58","100.64","7.77M","0.26%"
"2023- 05- 02","100.60","101.33","101.69","99.62","6.96M","-1.58%"
"2023- 05- 01","102.21","102.40","102.61","101.61","6.91M","-0.28%"
"2023- 04- 28","102.50","99.37","102.56","99.08","11.33M","2.57%"
"2023- 04- 27","99.93","97.13","100.07","96.71","8.17M","3.44%"
"2023- 04- 26","96.61","97.84","98.48","96.46","8.63M","-1.43%"
"2023- 04- 25","98.01","99.38","99.71","98.01","6.51M","-1.68%"
"2023- 04- 24","99.68","100.14","100.74","98.67","8.54M","0.11%"
"2023- 04- 21","99.57","98.16","99.72","97.72","9.47M","1.53%"
"2023- 04- 20","98.07","97.75","98.58","97.39","7.76M","-0.69%"
"2023- 04- 19","98.75","99.78","99.83","98.36","11.52M","-2.16%"
"2023- 04- 18","100.93","100.61","101.15","99.60","8.18M","0.63%"
"2023- 04- 17","100.30","99.57","100.57","99.15","6.71M","0.40%"
"2023- 04- 14","99.90","100.50","100.86","98.93","7.34M","-0.93%"
"2023- 04- 13","100.84","98.51","101.07","98.51","8.74M","2.96%"
"2023- 04- 12","97.94","101.25","102.22","97.70","9.29M","-2.47%"
"2023- 04- 11","100.42","101.16","101.91","100.29","7.50M","-0.39%"
"2023- 04- 10","100.81","99.30","100.81","98.90","8.02M","0.84%"
"2023- 04- 06","99.97","99.44","100.32","98.55","7.04M","0.06%"
"2023- 04- 05","99.91","99.70","100.18","98.63","7.75M","0.34%"
"2023- 04- 04","99.57","100.30","100.42","98.76","6.79M","-0.19%"
"2023- 04- 03","99.76","100.21","100.43","99.27","7.31M","-0.37%"
"2023- 03- 31","100.13","98.89","100.20","98.50","8.92M","2.07%"
"2023- 03- 30","98.10","98.73","98.92","97.67","7.67M","1.27%"
"2023- 03- 29","96.87","96.08","96.91","95.35","5.89M","2.16%"
"2023- 03- 28","94.82","95.51","96.00","94.59","5.43M","-0.84%"
"2023- 03- 27","95.62","94.78","96.02","94.38","7.49M","1.64%"
"2023- 03- 24","94.08","94.81","95.00","93.02","9.54M","-1.83%"
"2023- 03- 23","95.83","95.28","97.02","94.76","9.53M","0.98%"
"2023- 03- 22","94.90","97.45","97.93","94.82","8.81M","-1.70%"
"2023- 03- 21","96.54","95.17","96.85","95.17","7.29M","2.46%"
"2023- 03- 20","94.22","93.43","94.92","93.00","6.66M","1.09%"
"2023- 03- 17","93.20","94.05","94.27","92.91","12.94M","-1.16%"
"2023- 03- 16","94.29","92.67","94.56","91.89","9.95M","1.28%"
"2023- 03- 15","93.10","91.63","93.36","91.41","9.54M","-0.28%"
"2023- 03- 14","93.36","94.00","94.30","92.34","10.32M","0.82%"
"2023- 03- 13","92.60","91.89","94.02","90.46","11.92M","-1.04%"
"2023- 03- 10","93.57","95.60","95.90","92.83","13.98M","-2.67%"
"2023- 03- 09","96.14","99.45","100.05","95.92","8.28M","-3.18%"
"2023- 03- 08","99.30","99.00","99.62","98.30","5.67M","0.24%"
"2023- 03- 07","99.06","100.40","100.94","98.89","6.95M","-1.59%"
"2023- 03- 06","100.66","101.61","102.69","100.49","6.77M","-0.47%"
"2023- 03- 03","101.14","99.67","101.18","98.88","7.43M","2.24%"
"2023- 03- 02","98.92","97.74","99.29","97.42","7.78M","0.39%"
"2023- 03- 01","98.54","99.19","99.63","98.10","7.90M","-1.07%"
"2023- 02- 28","99.61","100.45","100.75","99.57","8.23M","-0.84%"
"2023- 02- 27","100.45","100.73","101.47","100.06","6.64M","0.15%"
"2023- 02- 24","100.30","99.53","100.43","98.96","8.52M","-1.41%"
"2023- 02- 23","101.73","101.45","102.05","99.61","10.97M","0.05%"
"2023- 02- 22","101.68","101.33","102.56","101.09","9.89M","-0.40%"
"2023- 02- 21","102.09","103.55","103.73","101.83","10.65M","-2.97%"
"2023- 02- 17","105.22","105.03","105.80","103.88","9.49M","-0.58%"
"2023- 02- 16","105.83","107.55","108.02","105.70","9.48M","-3.12%"
"2023- 02- 15","109.24","107.09","109.27","106.70","8.16M","1.47%"
"2023- 02- 14","107.66","106.82","108.44","105.82","10.77M","0.00%"
"2023- 02- 13","107.66","108.10","108.29","106.55","12.34M","-0.37%"
"2023- 02- 10","108.06","108.96","109.74","107.21","15.57M","-2.08%"
"2023- 02- 09","110.36","118.04","118.18","109.81","46.14M","-1.27%"
"2023- 02- 08","111.78","112.20","113.33","110.29","27.72M","0.13%"
"2023- 02- 07","111.63","109.29","112.12","108.86","10.84M","1.60%"
"2023- 02- 06","109.87","110.17","110.43","108.53","11.96M","-0.76%"
"2023- 02- 03","110.71","111.47","113.14","110.37","12.47M","-2.21%"
"2023- 02- 02","113.21","110.67","113.53","109.69","13.09M","3.49%"
"2023- 02- 01","109.39","108.50","109.94","106.90","9.98M","0.83%"
"2023- 01- 31","108.49","107.58","108.71","107.45","8.25M","0.84%"
"2023- 01- 30","107.59","108.26","108.97","107.48","8.55M","-1.78%"
"2023- 01- 27","109.54","109.26","110.58","109.16","10.25M","-0.15%"
"2023- 01- 26","109.70","108.17","109.76","107.57","9.20M","1.46%"
"2023- 01- 25","108.12","104.96","108.16","104.18","10.01M","2.00%"
"2023- 01- 24","106.00","105.39","108.44","102.00","8.61M","0.29%"
"2023- 01- 23","105.69","103.29","105.95","102.92","11.48M","2.14%"
"2023- 01- 20","103.48","100.34","103.59","99.30","14.55M","4.44%"
"2023- 01- 19","99.08","98.12","99.45","97.12","10.97M","0.04%"
"2023- 01- 18","99.04","100.28","101.13","98.72","11.38M","-0.87%"
"2023- 01- 17","99.91","100.32","100.99","99.00","14.91M","0.51%"
"2023- 01- 13","99.40","99.38","99.60","98.01","12.23M","-0.41%"
"2023- 01- 12","99.81","98.50","100.63","97.57","19.76M","3.61%"
"2023- 01- 11","96.33","95.92","96.55","95.04","8.76M","0.81%"
"2023- 01- 10","95.56","94.28","95.64","93.82","6.91M","0.83%"
"2023- 01- 09","94.77","94.43","95.70","93.45","11.68M","0.91%"
"2023- 01- 06","93.92","92.66","94.69","91.32","9.83M","2.18%"
"2023- 01- 05","91.92","91.66","92.48","90.51","11.62M","-0.07%"
"2023- 01- 04","91.98","90.00","92.75","89.36","14.96M","3.38%"
"2023- 01- 03","88.97","88.98","89.97","87.83","15.00M","2.41%"
