"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 06- 16","887.95","882.45","888.27","878.99","949.46M","1.13%"
"2023- 06- 15","878.04","877.62","884.55","865.48","1.12B","0.71%"
"2023- 06- 14","871.83","899.35","899.85","870.48","1.34B","-2.79%"
"2023- 06- 13","896.81","890.81","898.28","889.58","1.12B","1.25%"
"2023- 06- 12","885.76","887.20","887.20","881.76","1.01B","0.23%"
"2023- 06- 09","883.71","882.11","886.52","880.76","1.07B","0.87%"
"2023- 06- 08","876.13","878.86","879.44","871.50","1.12B","-0.52%"
"2023- 06- 07","880.72","872.10","880.81","872.10","1.09B","1.20%"
"2023- 06- 05","870.28","871.05","872.95","865.13","1.05B","0.26%"
"2023- 06- 02","868.06","866.16","868.17","864.97","1.11B","0.50%"
"2023- 06- 01","863.78","855.95","863.86","855.46","982.02M","0.80%"
"2023- 05- 31","856.94","851.37","860.30","850.88","1.07B","0.64%"
"2023- 05- 30","851.50","850.00","851.53","844.48","1.23B","0.98%"
"2023- 05- 26","843.23","849.80","853.06","842.17","1.18B","-0.53%"
"2023- 05- 25","847.72","857.30","860.01","845.84","1.25B","-0.90%"
"2023- 05- 24","855.46","856.25","857.84","853.00","1.15B","-0.43%"
"2023- 05- 23","859.16","853.57","861.30","853.57","1.27B","0.84%"
"2023- 05- 22","852.04","840.97","852.33","837.49","1.09B","1.23%"
"2023- 05- 19","841.72","839.56","842.21","836.68","1.31B","0.70%"
"2023- 05- 18","835.89","839.27","841.10","833.73","1.32B","0.20%"
"2023- 05- 17","834.19","815.58","834.20","814.65","1.27B","2.14%"
"2023- 05- 16","816.75","818.96","822.64","813.32","1.37B","0.27%"
"2023- 05- 15","814.53","820.50","820.50","806.47","1.28B","-0.96%"
"2023- 05- 12","822.43","824.11","828.14","820.24","1.69B","-0.26%"
"2023- 05- 11","824.54","836.60","840.66","821.94","1.75B","-0.63%"
"2023- 05- 10","829.74","836.02","839.86","827.88","1.32B","-0.73%"
