"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 07- 10","32,189.73","32,393.46","32,558.98","32,065.63","1.01B","-0.61%"
"2023- 07- 07","32,388.42","32,450.64","32,730.25","32,327.90","1.05B","-1.17%"
"2023- 07- 06","32,773.02","33,058.40","33,079.45","32,637.72","1.01B","-1.70%"
"2023- 07- 05","33,338.70","33,165.06","33,389.22","33,041.14","951.33M","-0.25%"
"2023- 07- 04","33,422.52","33,512.26","33,576.45","33,338.78","993.71M","-0.98%"
"2023- 07- 03","33,753.33","33,517.60","33,762.81","33,510.55","953.90M","1.70%"
"2023- 06- 30","33,189.04","33,068.36","33,232.89","32,918.77","1.11B","-0.14%"
"2023- 06- 29","33,234.14","33,306.84","33,527.98","33,185.20","1.18B","0.12%"
"2023- 06- 28","33,193.99","32,807.84","33,193.99","32,642.87","911.14M","2.02%"
"2023- 06- 27","32,538.33","32,629.96","32,689.10","32,306.99","795.82M","-0.49%"
"2023- 06- 26","32,698.81","32,647.08","32,884.73","32,392.72","740.74M","-0.25%"
"2023- 06- 23","32,781.54","33,458.35","33,533.47","32,575.56","1.04B","-1.45%"
"2023- 06- 22","33,264.88","33,438.01","33,641.46","33,232.19","946.65M","-0.92%"
"2023- 06- 21","33,575.14","33,200.63","33,657.87","33,154.68","820.00M","0.56%"
"2023- 06- 20","33,388.91","33,269.57","33,474.74","33,089.02","824.13M","0.06%"
"2023- 06- 19","33,370.42","33,768.69","33,772.89","33,231.56","829.08M","-1.00%"
"2023- 06- 16","33,706.08","33,399.15","33,772.76","33,186.93","1.32B","0.66%"
"2023- 06- 15","33,485.49","33,493.69","33,767.13","33,386.01","1.06B","-0.05%"
"2023- 06- 14","33,502.42","33,331.47","33,665.52","33,203.95","1.12B","1.47%"
"2023- 06- 13","33,018.65","32,668.95","33,127.36","32,638.21","894.53M","1.80%"
"2023- 06- 12","32,434.00","32,412.12","32,517.68","32,280.54","687.05M","0.52%"
"2023- 06- 09","32,265.17","31,927.38","32,304.04","31,898.75","1.02B","1.97%"
"2023- 06- 08","31,641.27","31,877.79","32,035.95","31,420.45","860.40M","-0.85%"
"2023- 06- 07","31,913.74","32,618.78","32,708.53","31,913.74","1.12B","-1.82%"
"2023- 06- 06","32,506.78","31,988.37","32,534.47","31,933.87","824.79M","0.90%"
"2023- 06- 05","32,217.43","31,864.12","32,217.43","31,798.72","988.37M","2.20%"
"2023- 06- 02","31,524.22","31,300.72","31,555.54","31,257.01","906.56M","1.21%"
"2023- 06- 01","31,148.01","30,886.01","31,185.05","30,853.44","950.90M","0.84%"
"2023- 05- 31","30,887.88","31,057.09","31,142.78","30,785.98","1.85B","-1.41%"
"2023- 05- 30","31,328.16","31,196.24","31,374.83","31,064.19","718.45M","0.30%"
"2023- 05- 29","31,233.54","31,388.01","31,560.43","31,164.00","783.28M","1.03%"
"2023- 05- 26","30,916.31","30,909.61","31,101.60","30,864.49","783.49M","0.37%"
"2023- 05- 25","30,801.13","30,599.27","30,889.98","30,558.14","839.88M","0.39%"
"2023- 05- 24","30,682.68","30,728.69","30,856.92","30,566.83","817.09M","-0.89%"
"2023- 05- 23","30,957.77","31,245.72","31,352.53","30,828.73","921.62M","-0.42%"
"2023- 05- 22","31,086.82","30,735.71","31,086.82","30,689.27","753.94M","0.90%"
"2023- 05- 19","30,808.35","30,847.36","30,924.57","30,679.16","805.28M","0.77%"
