COMPANY_NAME,BASE_DATE,STOCK_PRICE
disney,2023-02-06,109.87
disney,2023-02-03,110.71
disney,2023-02-02,113.21
disney,2023-02-01,109.39
disney,2023-01-31,108.49
disney,2023-01-30,107.59
disney,2023-01-27,109.54
disney,2023-01-26,109.7
disney,2023-01-25,108.12
disney,2023-01-24,106.0
disney,2023-01-23,105.69
disney,2023-01-20,103.48
disney,2023-01-19,99.08
disney,2023-01-18,99.04
disney,2023-01-17,99.91
disney,2023-01-13,99.4
disney,2023-01-12,99.81
disney,2023-01-11,96.33
disney,2023-01-10,95.56
disney,2023-01-09,94.77
disney,2023-01-06,93.92
disney,2023-01-05,91.92
disney,2023-01-04,91.98
disney,2023-01-03,88.97
