COMPANY_NAME,BASE_DATE,STOCK_PRICE
nvidia,2023-03-17,257.25
nvidia,2023-03-16,255.41
nvidia,2023-03-15,242.28
nvidia,2023-03-14,240.63
nvidia,2023-03-13,229.66
nvidia,2023-03-10,229.65
nvidia,2023-03-09,234.36
nvidia,2023-03-08,241.81
nvidia,2023-03-07,232.88
nvidia,2023-03-06,235.54
nvidia,2023-03-03,238.9
nvidia,2023-03-02,233.14
nvidia,2023-03-01,226.98
nvidia,2023-02-28,232.16
nvidia,2023-02-27,235.01
nvidia,2023-02-24,232.86
nvidia,2023-02-23,236.64
nvidia,2023-02-22,207.54
nvidia,2023-02-21,206.55
nvidia,2023-02-17,213.88
nvidia,2023-02-16,220.02
nvidia,2023-02-15,227.64
nvidia,2023-02-14,229.71
nvidia,2023-02-13,217.88
nvidia,2023-02-10,212.65
nvidia,2023-02-09,223.37
nvidia,2023-02-08,222.05
nvidia,2023-02-07,221.73
nvidia,2023-02-06,210.89
nvidia,2023-02-03,211.0
nvidia,2023-02-02,217.09
nvidia,2023-02-01,209.43
nvidia,2023-01-31,195.37
nvidia,2023-01-30,191.62
nvidia,2023-01-27,203.65
nvidia,2023-01-26,198.02
nvidia,2023-01-25,193.23
nvidia,2023-01-24,192.65
nvidia,2023-01-23,191.93
nvidia,2023-01-20,178.39
nvidia,2023-01-19,167.65
nvidia,2023-01-18,173.77
nvidia,2023-01-17,177.02
nvidia,2023-01-13,168.99
nvidia,2023-01-12,165.11
nvidia,2023-01-11,160.01
nvidia,2023-01-10,159.09
nvidia,2023-01-09,156.28
nvidia,2023-01-06,148.59
nvidia,2023-01-05,142.65
nvidia,2023-01-04,147.49
nvidia,2023-01-03,143.15
