COMPANY_NAME,BASE_DATE,STOCK_PRICE
szi,2023-01-31,450.78
szi,2023-01-30,452.67
szi,2023-01-20,452.05
szi,2023-01-19,448.65
szi,2023-01-18,446.45
szi,2023-01-17,446.43
szi,2023-01-16,446.89
szi,2023-01-13,442.42
szi,2023-01-12,438.01
szi,2023-01-11,437.79
szi,2023-01-10,438.85
szi,2023-01-09,439.76
szi,2023-01-06,437.21
szi,2023-01-05,436.87
szi,2023-01-04,432.48
szi,2023-01-03,431.51
