COMPANY_NAME,BASE_DATE,STOCK_PRICE
nikkei,2023-03-14,174.28
nikkei,2023-03-13,178.2
nikkei,2023-03-10,180.19
nikkei,2023-03-09,183.25
nikkei,2023-03-08,182.11
nikkei,2023-03-07,181.24
nikkei,2023-03-06,180.79
nikkei,2023-03-03,178.8
nikkei,2023-03-02,176.06
nikkei,2023-03-01,176.17
nikkei,2023-02-28,175.72
nikkei,2023-02-27,175.58
nikkei,2023-02-24,175.77
nikkei,2023-02-22,173.53
nikkei,2023-02-21,175.89
nikkei,2023-02-20,176.27
nikkei,2023-02-17,176.15
nikkei,2023-02-16,177.32
nikkei,2023-02-15,176.08
nikkei,2023-02-14,176.72
nikkei,2023-02-13,175.6
nikkei,2023-02-10,177.16
nikkei,2023-02-09,176.6
nikkei,2023-02-08,176.75
nikkei,2023-02-07,177.25
nikkei,2023-02-06,177.3
nikkei,2023-02-03,176.12
nikkei,2023-02-02,175.44
nikkei,2023-02-01,175.08
nikkei,2023-01-31,174.96
nikkei,2023-01-30,175.64
nikkei,2023-01-27,175.31
nikkei,2023-01-26,175.19
nikkei,2023-01-25,175.39
nikkei,2023-01-24,174.78
nikkei,2023-01-23,172.26
nikkei,2023-01-20,170.0
nikkei,2023-01-19,169.05
nikkei,2023-01-18,171.53
nikkei,2023-01-17,167.35
nikkei,2023-01-16,165.32
nikkei,2023-01-13,167.23
nikkei,2023-01-12,169.34
nikkei,2023-01-11,169.32
nikkei,2023-01-10,167.58
nikkei,2023-01-06,166.29
nikkei,2023-01-05,165.31
nikkei,2023-01-04,164.65
