"날짜","종가","시가","고가","저가","변동 %"
"2024- 01- 01","4.250","4.250","4.250","4.250","0.00%"
"2023- 12- 29","4.250","4.277","4.314","4.244","-0.68%"
"2023- 12- 28","4.279","4.250","4.293","4.248","0.92%"
"2023- 12- 27","4.240","4.308","4.310","4.231","-2.68%"
"2023- 12- 26","4.356","4.336","4.382","4.327","0.47%"
"2023- 12- 25","4.336","4.338","4.338","4.336","0.15%"
"2023- 12- 22","4.329","4.341","4.376","4.315","-0.51%"
"2023- 12- 21","4.352","4.348","4.387","4.299","0.27%"
"2023- 12- 20","4.340","4.437","4.442","4.331","-2.29%"
"2023- 12- 19","4.442","4.446","4.467","4.414","-0.20%"
"2023- 12- 18","4.451","4.447","4.465","4.409","0.03%"
"2023- 12- 15","4.449","4.394","4.487","4.359","1.43%"
"2023- 12- 14","4.386","4.420","4.424","4.282","-1.05%"
"2023- 12- 13","4.433","4.733","4.737","4.424","-6.38%"
"2023- 12- 12","4.735","4.716","4.750","4.638","0.53%"
"2023- 12- 11","4.710","4.735","4.775","4.710","-0.27%"
"2023- 12- 08","4.723","4.595","4.740","4.595","2.84%"
"2023- 12- 07","4.593","4.595","4.638","4.565","-0.10%"
"2023- 12- 06","4.597","4.581","4.624","4.574","0.45%"
"2023- 12- 05","4.577","4.639","4.646","4.560","-1.31%"
"2023- 12- 04","4.637","4.580","4.668","4.580","1.90%"
"2023- 12- 01","4.551","4.668","4.712","4.540","-3.07%"
"2023- 11- 30","4.695","4.652","4.734","4.618","1.06%"
"2023- 11- 29","4.646","4.728","4.736","4.608","-2.05%"
"2023- 11- 28","4.742","4.869","4.892","4.730","-3.02%"
"2023- 11- 27","4.890","4.963","4.985","4.884","-1.31%"
"2023- 11- 24","4.955","4.932","4.961","4.925","0.47%"
"2023- 11- 23","4.932","4.927","4.932","4.927","0.70%"
"2023- 11- 22","4.898","4.872","4.940","4.844","0.30%"
"2023- 11- 21","4.883","4.905","4.919","4.862","-0.74%"
"2023- 11- 20","4.919","4.896","4.928","4.881","0.52%"
"2023- 11- 17","4.894","4.833","4.917","4.796","0.90%"
"2023- 11- 16","4.850","4.905","4.910","4.819","-1.34%"
"2023- 11- 15","4.916","4.842","4.937","4.825","1.66%"
"2023- 11- 14","4.836","5.045","5.050","4.809","-3.91%"
"2023- 11- 13","5.033","5.062","5.081","5.024","-0.71%"
"2023- 11- 10","5.069","5.024","5.073","4.976","0.80%"
"2023- 11- 09","5.029","4.930","5.041","4.919","1.87%"
"2023- 11- 08","4.936","4.922","4.957","4.909","0.42%"
"2023- 11- 07","4.915","4.935","4.957","4.888","-0.51%"
"2023- 11- 06","4.941","4.855","4.945","4.851","1.98%"
"2023- 11- 03","4.845","4.994","5.006","4.807","-3.02%"
"2023- 11- 02","4.996","4.931","5.000","4.914","0.97%"
"2023- 11- 01","4.948","5.083","5.087","4.933","-2.66%"
"2023- 10- 31","5.083","5.048","5.091","5.012","0.66%"
"2023- 10- 30","5.050","5.033","5.071","5.021","0.70%"
"2023- 10- 27","5.015","5.048","5.062","5.000","-0.62%"
"2023- 10- 26","5.046","5.114","5.148","5.023","-1.54%"
"2023- 10- 25","5.125","5.062","5.131","5.054","0.34%"
"2023- 10- 24","5.108","5.062","5.133","5.052","1.19%"
"2023- 10- 23","5.047","5.097","5.135","5.043","-0.47%"
"2023- 10- 20","5.071","5.163","5.169","5.060","-1.74%"
"2023- 10- 19","5.161","5.229","5.259","5.152","-1.14%"
"2023- 10- 18","5.220","5.214","5.244","5.171","0.13%"
"2023- 10- 17","5.214","5.105","5.241","5.096","2.22%"
"2023- 10- 16","5.101","5.073","5.103","5.049","0.84%"
"2023- 10- 13","5.058","5.069","5.071","5.014","-0.25%"
"2023- 10- 12","5.071","4.986","5.086","4.978","1.69%"
"2023- 10- 11","4.986","4.972","5.024","4.951","0.38%"
"2023- 10- 10","4.968","4.932","5.020","4.926","0.76%"
"2023- 10- 09","4.930","4.934","4.934","4.930","-2.98%"
"2023- 10- 06","5.081","5.027","5.151","5.024","1.13%"
"2023- 10- 05","5.025","5.048","5.069","5.014","-0.58%"
"2023- 10- 04","5.054","5.146","5.180","5.041","-1.95%"
"2023- 10- 03","5.154","5.108","5.156","5.081","0.90%"
"2023- 10- 02","5.108","5.091","5.123","5.079","1.12%"
"2023- 09- 29","5.052","5.064","5.079","5.014","-0.25%"
"2023- 09- 28","5.064","5.129","5.161","5.056","-1.42%"
"2023- 09- 27","5.137","5.058","5.158","5.046","0.08%"
"2023- 09- 26","5.134","5.138","5.157","5.112","0.13%"
"2023- 09- 25","5.127","5.108","5.138","5.099","0.30%"
"2023- 09- 22","5.112","5.135","5.144","5.080","-0.62%"
"2023- 09- 21","5.144","5.180","5.202","5.122","-0.54%"
"2023- 09- 20","5.172","5.094","5.178","5.049","1.56%"
"2023- 09- 19","5.092","5.052","5.114","5.045","0.72%"
"2023- 09- 18","5.056","5.052","5.058","5.039","0.38%"
"2023- 09- 15","5.037","5.009","5.054","4.998","0.46%"
"2023- 09- 14","5.014","4.967","5.035","4.950","0.85%"
"2023- 09- 13","4.971","5.026","5.081","4.961","-0.97%"
"2023- 09- 12","5.020","4.997","5.026","4.984","0.50%"
"2023- 09- 11","4.995","5.003","5.008","4.978","0.13%"
"2023- 09- 08","4.989","4.955","4.995","4.918","0.71%"
"2023- 09- 07","4.953","5.023","5.035","4.941","-1.50%"
"2023- 09- 06","5.029","4.947","5.037","4.932","1.39%"
"2023- 09- 05","4.960","4.904","4.972","4.893","1.10%"
"2023- 09- 04","4.906","4.906","4.906","4.906","0.60%"
"2023- 09- 01","4.876","4.869","4.891","4.760","0.28%"
"2023- 08- 31","4.863","4.888","4.915","4.848","-0.39%"
"2023- 08- 30","4.882","4.909","4.931","4.836","-0.25%"
"2023- 08- 29","4.894","5.002","5.035","4.871","-3.13%"
"2023- 08- 28","5.052","5.097","5.106","5.039","-0.50%"
"2023- 08- 25","5.078","5.019","5.095","5.009","1.09%"
"2023- 08- 24","5.023","4.977","5.029","4.963","1.04%"
"2023- 08- 23","4.971","5.046","5.051","4.935","-1.53%"
"2023- 08- 22","5.048","5.013","5.052","4.984","0.82%"
"2023- 08- 21","5.007","4.949","5.007","4.936","1.30%"
"2023- 08- 18","4.943","4.929","4.951","4.898","0.14%"
"2023- 08- 17","4.936","4.967","5.004","4.927","-0.64%"
"2023- 08- 16","4.967","4.952","4.991","4.899","0.18%"
"2023- 08- 15","4.959","4.971","5.024","4.905","-0.30%"
"2023- 08- 14","4.973","4.910","4.975","4.886","1.65%"
"2023- 08- 11","4.892","4.852","4.912","4.802","0.87%"
