"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 01- 11","476.35","477.59","478.12","472.26","77.56M","-0.04%"
"2024- 01- 10","476.56","474.16","477.45","473.87","66.98M","0.57%"
"2024- 01- 09","473.88","471.87","474.93","471.35","65.67M","-0.15%"
"2024- 01- 08","474.60","468.43","474.75","468.30","74.56M","1.43%"
"2024- 01- 05","467.92","467.49","470.44","466.43","86.12M","0.14%"
"2024- 01- 04","467.28","468.30","470.96","467.05","83.56M","-0.32%"
"2024- 01- 03","468.79","470.43","471.19","468.17","102.39M","-0.82%"
"2024- 01- 02","472.65","472.16","473.67","470.49","120.66M","-0.56%"
"2023- 12- 29","475.31","476.49","477.03","473.30","122.28M","-0.29%"
"2023- 12- 28","476.69","476.88","477.55","476.26","76.60M","0.04%"
"2023- 12- 27","476.51","475.44","476.66","474.89","65.51M","0.18%"
"2023- 12- 26","475.65","474.07","476.58","473.99","54.96M","0.42%"
"2023- 12- 22","473.65","473.86","475.38","471.70","67.16M","0.20%"
"2023- 12- 21","472.70","471.33","472.98","468.84","85.17M","0.95%"
"2023- 12- 20","468.26","473.96","475.89","467.82","97.15M","-1.39%"
"2023- 12- 19","474.84","472.53","474.92","472.45","53.00M","0.61%"
"2023- 12- 18","471.97","470.98","472.98","469.89","70.38M","0.56%"
"2023- 12- 15","469.33","469.49","470.70","467.43","141.55M","-0.57%"
"2023- 12- 14","472.01","472.50","473.73","469.25","116.00M","0.32%"
"2023- 12- 13","470.50","464.49","470.76","464.12","89.90M","1.38%"
"2023- 12- 12","464.10","461.63","464.20","460.60","67.23M","0.46%"
"2023- 12- 11","461.99","459.69","462.17","459.47","65.00M","0.39%"
"2023- 12- 08","460.20","457.46","460.74","457.21","83.19M","0.43%"
"2023- 12- 07","458.23","456.91","458.90","456.29","65.82M","0.76%"
"2023- 12- 06","454.76","458.81","458.84","454.31","68.05M","-0.40%"
"2023- 12- 05","456.60","455.26","457.59","454.87","69.45M","-0.02%"
"2023- 12- 04","456.69","455.60","459.12","454.34","71.49M","-0.52%"
"2023- 12- 01","459.10","455.77","459.65","455.16","89.18M","0.59%"
"2023- 11- 30","456.40","455.48","456.76","453.34","79.42M","0.39%"
"2023- 11- 29","454.61","457.15","458.32","454.20","62.65M","-0.07%"
"2023- 11- 28","454.93","454.08","456.27","453.50","61.29M","0.10%"
"2023- 11- 27","454.48","454.65","455.49","454.08","50.17M","-0.18%"
"2023- 11- 24","455.30","455.07","455.50","454.73","29.74M","0.06%"
"2023- 11- 22","455.02","454.98","456.38","453.89","59.45M","0.39%"
"2023- 11- 21","453.27","453.18","454.13","451.96","48.87M","-0.22%"
"2023- 11- 20","454.26","450.53","455.13","450.52","70.06M","0.77%"
"2023- 11- 17","450.79","450.24","451.42","449.29","83.19M","0.12%"
"2023- 11- 16","450.23","449.22","450.56","448.12","66.01M","0.12%"
"2023- 11- 15","449.68","450.11","451.38","448.80","76.62M","0.21%"
"2023- 11- 14","448.73","446.32","450.06","446.09","95.82M","1.94%"
"2023- 11- 13","440.19","439.23","441.33","438.42","51.83M","-0.10%"
"2023- 11- 10","440.61","435.98","440.93","433.83","89.56M","1.56%"
"2023- 11- 09","433.84","438.43","438.47","433.40","81.88M","-0.78%"
"2023- 11- 08","437.25","437.55","438.09","434.87","61.24M","0.07%"
"2023- 11- 07","436.93","435.69","437.58","434.51","63.83M","0.28%"
"2023- 11- 06","435.69","435.47","436.15","433.68","67.02M","0.23%"
"2023- 11- 03","434.69","433.14","436.29","433.01","100.17M","0.91%"
"2023- 11- 02","430.76","426.58","430.92","426.56","93.18M","1.92%"
"2023- 11- 01","422.66","419.20","423.50","418.65","98.07M","1.07%"
"2023- 10- 31","418.20","416.18","418.53","414.21","77.71M","0.63%"
"2023- 10- 30","415.59","413.56","416.68","412.22","86.12M","1.20%"
"2023- 10- 27","410.68","414.19","414.60","409.21","107.37M","-0.45%"
"2023- 10- 26","412.55","416.45","417.33","411.60","114.13M","-1.20%"
"2023- 10- 25","417.55","421.89","421.92","417.02","94.22M","-1.44%"
"2023- 10- 24","423.63","422.65","424.82","420.74","76.54M","0.75%"
"2023- 10- 23","420.46","419.61","424.45","417.80","91.63M","-0.17%"
"2023- 10- 20","421.19","425.98","426.54","421.08","123.92M","-1.23%"
"2023- 10- 19","426.43","430.95","432.82","425.73","120.37M","-0.88%"
"2023- 10- 18","430.21","434.19","435.18","429.09","92.78M","-1.33%"
"2023- 10- 17","436.02","432.81","438.14","432.45","74.82M","0.00%"
"2023- 10- 16","436.04","433.82","437.14","433.57","75.06M","1.05%"
"2023- 10- 13","431.50","435.21","436.45","429.88","95.20M","-0.50%"
"2023- 10- 12","433.66","436.95","437.33","431.23","81.15M","-0.61%"
"2023- 10- 11","436.32","435.64","436.58","433.18","61.74M","0.41%"
"2023- 10- 10","434.54","432.94","437.22","432.53","78.31M","0.52%"
"2023- 10- 09","432.29","427.58","432.88","427.01","80.37M","0.64%"
"2023- 10- 06","429.54","421.97","431.13","420.60","113.27M","1.19%"
"2023- 10- 05","424.50","424.36","425.37","421.17","69.92M","-0.04%"
"2023- 10- 04","424.66","422.07","425.43","420.56","87.07M","0.73%"
"2023- 10- 03","421.59","425.06","427.37","420.18","102.99M","-1.34%"
"2023- 10- 02","427.31","426.62","428.60","424.46","83.26M","-0.04%"
"2023- 09- 29","427.48","431.67","431.85","425.91","115.11M","-0.24%"
"2023- 09- 28","428.52","425.48","430.25","424.87","90.92M","0.58%"
"2023- 09- 27","426.05","427.09","427.67","422.29","104.21M","0.04%"
"2023- 09- 26","425.88","429.09","429.82","425.02","95.77M","-1.47%"
