"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 03- 08","55.13","55.00","55.40","54.82","1.86M","0.22%"
"2023- 03- 07","55.01","55.96","56.22","54.95","1.91M","-1.89%"
"2023- 03- 06","56.07","56.34","56.71","55.96","2.28M","-0.27%"
"2023- 03- 03","56.22","56.25","56.33","55.80","2.37M","0.39%"
"2023- 03- 02","56.00","55.09","56.11","55.06","2.04M","0.81%"
"2023- 03- 01","55.55","55.79","56.25","55.41","2.25M","-0.91%"
"2023- 02- 28","56.06","56.39","56.48","55.98","3.28M","-0.51%"
"2023- 02- 27","56.35","57.61","57.75","56.34","1.33M","-1.23%"
"2023- 02- 24","57.05","56.84","57.12","56.58","1.16M","-0.26%"
"2023- 02- 23","57.20","57.24","57.53","56.57","1.91M","0.18%"
"2023- 02- 22","57.10","56.96","57.23","56.54","2.67M","0.56%"
"2023- 02- 21","56.78","57.93","58.02","56.51","3.09M","-3.04%"
"2023- 02- 17","58.56","58.25","58.64","58.08","1.15M","0.21%"
"2023- 02- 16","58.44","58.87","59.10","58.38","1.17M","-1.22%"
"2023- 02- 15","59.16","58.31","59.22","58.27","1.72M","0.92%"
"2023- 02- 14","58.62","59.54","59.97","58.43","1.87M","-1.63%"
"2023- 02- 13","59.59","59.89","60.14","59.16","1.96M","-0.05%"
"2023- 02- 10","59.62","58.60","59.65","58.51","2.04M","1.09%"
"2023- 02- 09","58.98","59.84","59.99","58.78","1.57M","-1.11%"
"2023- 02- 08","59.64","59.80","60.09","59.44","1.84M","-0.52%"
"2023- 02- 07","59.95","59.30","60.19","58.70","2.43M","1.10%"
"2023- 02- 06","59.30","60.03","60.28","59.21","1.49M","-2.06%"
"2023- 02- 03","60.55","59.90","60.99","59.83","1.64M","-0.03%"
"2023- 02- 02","60.57","59.74","60.65","59.64","2.33M","1.80%"
"2023- 02- 01","59.50","60.19","60.35","58.97","2.49M","-1.15%"
"2023- 01- 31","60.19","59.85","60.19","59.37","2.59M","0.91%"
"2023- 01- 30","59.65","60.48","60.62","59.32","2.25M","-1.40%"
