COMPANY_NAME,BASE_DATE,STOCK_PRICE,FLUCTUATION_VALUE,FLUCTUATION_CHECK
nasdaq,2023-08-24,13463.97,-1.87,-1
nasdaq,2023-08-23,13721.03,1.59,1
nasdaq,2023-08-22,13505.87,0.06,1
nasdaq,2023-08-21,13497.59,1.56,1
nasdaq,2023-08-18,13290.78,-0.2,-1
nasdaq,2023-08-17,13316.93,-1.17,-1
nasdaq,2023-08-16,13474.63,-1.15,-1
nasdaq,2023-08-15,13631.05,-1.14,-1
nasdaq,2023-08-14,13788.33,1.05,1
nasdaq,2023-08-11,13644.85,-0.56,-1
nasdaq,2023-08-10,13721.03,0.12,1
nasdaq,2023-08-09,13705.08,-1.17,-1
nasdaq,2023-08-08,13867.19,-0.79,-1
nasdaq,2023-08-07,13977.12,0.61,1
nasdaq,2023-08-04,13892.07,-0.48,-1
nasdaq,2023-08-03,13959.72,-0.1,-1
nasdaq,2023-08-02,13973.45,-2.17,-1
nasdaq,2023-08-01,14283.91,-0.43,-1
nasdaq,2023-07-31,14346.02,0.21,1
nasdaq,2023-07-28,14316.66,1.9,1
nasdaq,2023-07-27,14050.11,-0.55,-1
nasdaq,2023-07-26,14127.28,-0.12,-1
nasdaq,2023-07-25,14144.56,0.61,1
nasdaq,2023-07-24,14058.87,0.19,1
nasdaq,2023-07-21,14032.81,-0.22,-1
nasdaq,2023-07-20,14063.31,-2.05,-1
nasdaq,2023-07-19,14358.02,0.03,1
nasdaq,2023-07-18,14353.64,0.76,1
nasdaq,2023-07-17,14244.95,0.93,1
nasdaq,2023-07-14,14113.7,-0.18,-1
nasdaq,2023-07-13,14138.57,1.58,1
nasdaq,2023-07-12,13918.96,1.15,1
nasdaq,2023-07-11,13760.7,0.55,1
nasdaq,2023-07-10,13685.48,0.18,1
nasdaq,2023-07-07,13660.72,-0.13,-1
nasdaq,2023-07-06,13679.04,-0.82,-1
nasdaq,2023-07-05,13791.65,-0.18,-1
nasdaq,2023-07-03,13816.77,0.21,1
nasdaq,2023-06-30,13787.92,1.45,1
nasdaq,2023-06-29,13591.33,0.0,0
nasdaq,2023-06-28,13591.75,0.27,1
nasdaq,2023-06-27,13555.67,1.65,1
nasdaq,2023-06-26,13335.78,-1.16,-1
nasdaq,2023-06-23,13492.52,-1.01,-1
nasdaq,2023-06-22,13630.61,0.95,1
nasdaq,2023-06-21,13502.2,-1.21,-1
nasdaq,2023-06-20,13667.29,-0.16,-1
nasdaq,2023-06-16,13689.57,-0.68,-1
nasdaq,2023-06-15,13782.82,1.15,1
nasdaq,2023-06-14,13626.48,0.39,1
nasdaq,2023-06-13,13573.32,0.83,1
nasdaq,2023-06-12,13461.92,1.53,1
nasdaq,2023-06-09,13259.14,0.16,1
nasdaq,2023-06-08,13238.52,1.02,1
nasdaq,2023-06-07,13104.9,-1.29,-1
nasdaq,2023-06-06,13276.42,0.36,1
nasdaq,2023-06-05,13229.43,-0.09,-1
nasdaq,2023-06-02,13240.77,1.07,1
nasdaq,2023-06-01,13100.98,1.28,1
nasdaq,2023-05-31,12935.28,-0.63,-1
nasdaq,2023-05-30,13017.43,0.32,1
nasdaq,2023-05-26,12975.69,2.19,1
nasdaq,2023-05-25,12698.09,1.71,1
