COMPANY_NAME,BASE_DATE,STOCK_PRICE,FLUCTUATION_VALUE,FLUCTUATION_CHECK
kospi,2023-06-01,1.89,-0.31,-1
kospi,2023-05-31,1.89,-0.32,-1
kospi,2023-05-30,1.9,1.04,1
kospi,2023-05-26,1.88,0.16,1
kospi,2023-05-25,1.88,-0.5,-1
kospi,2023-05-24,1.89,0.0,0
kospi,2023-05-23,1.89,0.41,1
kospi,2023-05-22,1.88,0.76,1
kospi,2023-05-19,1.86,0.89,1
kospi,2023-05-18,1.85,0.83,1
kospi,2023-05-17,1.83,0.58,1
kospi,2023-05-16,1.82,0.04,1
kospi,2023-05-15,1.82,0.16,1
kospi,2023-05-12,1.82,-0.63,-1
kospi,2023-05-11,1.83,-0.22,-1
kospi,2023-05-10,1.83,-0.54,-1
kospi,2023-05-09,1.84,-0.13,-1
kospi,2023-05-08,1.85,0.49,1
kospi,2023-05-04,1.84,-0.02,-1
kospi,2023-05-03,1.84,-0.91,-1
kospi,2023-05-02,1.85,0.91,1
kospi,2023-04-28,1.84,0.23,1
kospi,2023-04-27,1.83,0.44,1
kospi,2023-04-26,1.82,-0.17,-1
kospi,2023-04-25,1.83,-1.37,-1
kospi,2023-04-24,1.85,-0.82,-1
kospi,2023-04-21,1.87,-0.73,-1
kospi,2023-04-20,1.88,-0.46,-1
kospi,2023-04-19,1.89,0.16,1
kospi,2023-04-18,1.89,-0.19,-1
kospi,2023-04-17,1.89,0.17,1
kospi,2023-04-14,1.89,0.38,1
kospi,2023-04-13,1.88,0.43,1
kospi,2023-04-12,1.87,0.11,1
kospi,2023-04-11,1.87,1.42,1
kospi,2023-04-10,1.84,0.87,1
kospi,2023-04-07,1.83,1.27,1
kospi,2023-04-06,1.81,-1.44,-1
kospi,2023-04-05,1.83,0.59,1
kospi,2023-04-04,1.82,0.33,1
kospi,2023-04-03,1.82,-0.18,-1
kospi,2023-03-31,1.82,0.97,1
kospi,2023-03-30,1.8,0.38,1
kospi,2023-03-29,1.79,0.37,1
kospi,2023-03-28,1.79,1.07,1
kospi,2023-03-27,1.77,-0.24,-1
kospi,2023-03-24,1.77,-0.39,-1
kospi,2023-03-23,1.78,0.31,1
kospi,2023-03-22,1.77,1.2,1
kospi,2023-03-21,1.75,0.38,1
kospi,2023-03-20,1.75,-0.69,-1
kospi,2023-03-17,1.76,0.75,1
kospi,2023-03-16,1.75,-0.08,-1
kospi,2023-03-15,1.75,1.31,1
kospi,2023-03-14,1.73,-2.56,-1
kospi,2023-03-13,1.77,0.67,1
kospi,2023-03-10,1.76,-1.01,-1
kospi,2023-03-09,1.78,-0.53,-1
kospi,2023-03-08,1.79,-1.28,-1
kospi,2023-03-07,1.81,0.03,1
kospi,2023-03-06,1.81,1.26,1
kospi,2023-03-03,1.79,0.17,1
kospi,2023-03-02,1.78,0.62,1
kospi,2023-02-28,1.77,0.42,1
kospi,2023-02-27,1.76,-0.87,-1
kospi,2023-02-24,1.78,-0.63,-1
kospi,2023-02-23,1.79,0.89,1
kospi,2023-02-22,1.78,-1.68,-1
kospi,2023-02-21,1.81,0.16,1
kospi,2023-02-20,1.8,0.16,1
kospi,2023-02-17,1.8,-0.98,-1
kospi,2023-02-16,1.82,1.96,1
kospi,2023-02-15,1.78,-1.53,-1
kospi,2023-02-14,1.81,0.53,1
kospi,2023-02-13,1.8,-0.69,-1
kospi,2023-02-10,1.81,-0.48,-1
kospi,2023-02-09,1.82,-0.09,-1
kospi,2023-02-08,1.82,1.3,1
kospi,2023-02-07,1.8,0.55,1
kospi,2023-02-06,1.79,-1.7,-1
kospi,2023-02-03,1.82,0.47,1
kospi,2023-02-02,1.81,0.78,1
kospi,2023-02-01,1.8,1.02,1
kospi,2023-01-31,1.78,-1.04,-1
kospi,2023-01-30,1.8,-1.35,-1
kospi,2023-01-27,1.82,0.62,1
kospi,2023-01-26,1.81,1.65,1
kospi,2023-01-25,1.78,1.39,1
kospi,2023-01-20,1.76,0.63,1
kospi,2023-01-19,1.75,0.51,1
kospi,2023-01-18,1.74,-0.47,-1
kospi,2023-01-17,1.75,-0.85,-1
kospi,2023-01-16,1.76,0.58,1
