COMPANY_NAME,BASE_DATE,STOCK_PRICE,FLUCTUATION_VALUE,FLUCTUATION_CHECK
nikkei,2023-06-14,214.49,1.47,1
nikkei,2023-06-13,211.4,1.8,1
nikkei,2023-06-12,207.65,0.52,1
nikkei,2023-06-09,206.57,1.97,1
nikkei,2023-06-08,202.58,-0.85,-1
nikkei,2023-06-07,204.32,-1.82,-1
nikkei,2023-06-06,208.12,0.9,1
nikkei,2023-06-05,206.27,2.2,1
nikkei,2023-06-02,201.83,1.21,1
nikkei,2023-06-01,199.42,0.84,1
nikkei,2023-05-31,197.75,-1.41,-1
nikkei,2023-05-30,200.57,0.3,1
nikkei,2023-05-29,199.97,1.03,1
nikkei,2023-05-26,197.94,0.37,1
nikkei,2023-05-25,197.2,0.39,1
nikkei,2023-05-24,196.44,-0.89,-1
nikkei,2023-05-23,198.2,-0.42,-1
nikkei,2023-05-22,199.03,0.9,1
nikkei,2023-05-19,197.25,0.77,1
nikkei,2023-05-18,195.74,1.6,1
nikkei,2023-05-17,192.67,0.84,1
nikkei,2023-05-16,191.06,0.73,1
nikkei,2023-05-15,189.68,0.81,1
nikkei,2023-05-12,188.15,0.9,1
nikkei,2023-05-11,186.48,0.02,1
nikkei,2023-05-10,186.45,-0.41,-1
nikkei,2023-05-09,187.22,1.01,1
nikkei,2023-05-08,185.35,-0.71,-1
nikkei,2023-05-02,186.68,0.12,1
nikkei,2023-05-01,186.46,0.92,1
nikkei,2023-04-28,184.75,1.4,1
nikkei,2023-04-27,182.2,0.15,1
nikkei,2023-04-26,181.93,-0.71,-1
nikkei,2023-04-25,183.24,0.09,1
nikkei,2023-04-24,183.07,0.1,1
nikkei,2023-04-21,182.88,-0.33,-1
nikkei,2023-04-20,183.48,0.18,1
nikkei,2023-04-19,183.15,-0.18,-1
nikkei,2023-04-18,183.48,0.51,1
nikkei,2023-04-17,182.56,0.07,1
nikkei,2023-04-14,182.42,1.2,1
nikkei,2023-04-13,180.27,0.26,1
nikkei,2023-04-12,179.79,0.57,1
nikkei,2023-04-11,178.77,1.05,1
nikkei,2023-04-10,176.92,0.42,1
nikkei,2023-04-07,176.18,0.17,1
nikkei,2023-04-06,175.89,-1.22,-1
nikkei,2023-04-05,178.07,-1.68,-1
nikkei,2023-04-04,181.11,0.35,1
nikkei,2023-04-03,180.47,0.52,1
nikkei,2023-03-31,179.53,0.93,1
nikkei,2023-03-30,177.88,-0.36,-1
nikkei,2023-03-29,178.52,1.33,1
nikkei,2023-03-28,176.18,0.15,1
