COMPANY_NAME,BASE_DATE,STOCK_PRICE,FLUCTUATION_VALUE,FLUCTUATION_CHECK
tesla,2023-06-06,221.31,1.7,1
tesla,2023-06-05,217.61,1.7,1
tesla,2023-06-02,213.97,3.11,1
tesla,2023-06-01,207.52,1.76,1
tesla,2023-05-31,203.93,1.38,1
tesla,2023-05-30,201.16,4.14,1
tesla,2023-05-26,193.17,4.72,1
tesla,2023-05-25,184.47,0.86,1
tesla,2023-05-24,182.9,-1.54,-1
tesla,2023-05-23,185.77,-1.64,-1
tesla,2023-05-22,188.87,4.85,1
tesla,2023-05-19,180.14,1.84,1
tesla,2023-05-18,176.89,1.74,1
tesla,2023-05-17,173.86,4.41,1
tesla,2023-05-16,166.52,0.1,1
tesla,2023-05-15,166.35,-0.97,-1
tesla,2023-05-12,167.98,-2.38,-1
tesla,2023-05-11,172.08,2.1,1
tesla,2023-05-10,168.54,-0.36,-1
tesla,2023-05-09,169.15,-1.54,-1
tesla,2023-05-08,171.79,1.02,1
tesla,2023-05-05,170.06,5.5,1
tesla,2023-05-04,161.2,0.37,1
tesla,2023-05-03,160.61,0.19,1
tesla,2023-05-02,160.31,-0.94,-1
tesla,2023-05-01,161.83,-1.51,-1
tesla,2023-04-28,164.31,2.57,1
tesla,2023-04-27,160.19,4.19,1
tesla,2023-04-26,153.75,-4.31,-1
tesla,2023-04-25,160.67,-1.16,-1
tesla,2023-04-24,162.55,-1.53,-1
tesla,2023-04-21,165.08,1.28,1
tesla,2023-04-20,162.99,-9.75,-1
tesla,2023-04-19,180.59,-2.02,-1
tesla,2023-04-18,184.31,-1.46,-1
tesla,2023-04-17,187.04,1.1,1
tesla,2023-04-14,185.0,-0.48,-1
tesla,2023-04-13,185.9,2.97,1
tesla,2023-04-12,180.54,-3.35,-1
tesla,2023-04-11,186.79,1.24,1
tesla,2023-04-10,184.51,-0.3,-1
tesla,2023-04-06,185.06,-0.25,-1
tesla,2023-04-05,185.52,-3.67,-1
tesla,2023-04-04,192.58,-1.12,-1
tesla,2023-04-03,194.77,-6.12,-1
tesla,2023-03-31,207.46,6.24,1
tesla,2023-03-30,195.28,0.72,1
tesla,2023-03-29,193.88,2.48,1
tesla,2023-03-28,189.19,-1.37,-1
tesla,2023-03-27,191.81,0.74,1
tesla,2023-03-24,190.41,-0.94,-1
tesla,2023-03-23,192.22,0.56,1
tesla,2023-03-22,191.15,-3.25,-1
tesla,2023-03-21,197.58,7.82,1
tesla,2023-03-20,183.25,1.73,1
tesla,2023-03-17,180.13,-2.17,-1
tesla,2023-03-16,184.13,2.04,1
tesla,2023-03-15,180.45,-1.53,-1
tesla,2023-03-14,183.26,5.03,1
tesla,2023-03-13,174.48,0.6,1
tesla,2023-03-10,173.44,0.3,1
tesla,2023-03-09,172.92,-4.99,-1
tesla,2023-03-08,182.0,-3.04,-1
tesla,2023-03-07,187.71,-3.15,-1
tesla,2023-03-06,193.81,-2.01,-1
tesla,2023-03-03,197.79,3.61,1
tesla,2023-03-02,190.9,-5.85,-1
tesla,2023-03-01,202.77,-1.43,-1
tesla,2023-02-28,205.71,-0.92,-1
tesla,2023-02-27,207.63,5.46,1
tesla,2023-02-24,196.88,-2.57,-1
tesla,2023-02-23,202.07,0.6,1
tesla,2023-02-22,200.86,1.77,1
tesla,2023-02-21,197.37,-5.25,-1
tesla,2023-02-17,208.31,3.1,1
tesla,2023-02-16,202.04,-5.69,-1
tesla,2023-02-15,214.24,2.38,1
tesla,2023-02-14,209.25,7.51,1
tesla,2023-02-13,194.64,-1.14,-1
tesla,2023-02-10,196.89,-5.03,-1
tesla,2023-02-09,207.32,3.0,1
tesla,2023-02-08,201.29,2.28,1
tesla,2023-02-07,196.81,1.05,1
tesla,2023-02-06,194.76,2.52,1
tesla,2023-02-03,189.98,0.91,1
tesla,2023-02-02,188.27,3.78,1
tesla,2023-02-01,181.41,4.73,1
tesla,2023-01-31,173.22,3.94,1
tesla,2023-01-30,166.66,-6.32,-1
tesla,2023-01-27,177.9,11.0,1
tesla,2023-01-26,160.27,10.97,1
tesla,2023-01-25,144.43,0.38,1
tesla,2023-01-24,143.89,0.1,1
tesla,2023-01-23,143.75,7.74,1
tesla,2023-01-20,133.42,4.91,1
tesla,2023-01-19,127.17,-1.25,-1
tesla,2023-01-18,128.78,-2.06,-1
tesla,2023-01-17,131.49,7.43,1
tesla,2023-01-13,122.4,-0.94,-1
tesla,2023-01-12,123.56,0.28,1
tesla,2023-01-11,123.22,3.68,1
tesla,2023-01-10,118.85,-0.77,-1
tesla,2023-01-09,119.77,5.93,1
tesla,2023-01-06,113.06,2.47,1
tesla,2023-01-05,110.34,-2.9,-1
tesla,2023-01-04,113.64,5.12,1
tesla,2023-01-03,108.1,-12.24,-1
